name	variant	category
Exo 100italic	100italic	sans-serif
Exo 200	200	sans-serif
Exo 200italic	200italic	sans-serif
Exo 300	300	sans-serif
Exo 300italic	300italic	sans-serif
Exo regular	regular	sans-serif
Exo italic	italic	sans-serif
Exo 500	500	sans-serif
Exo 500italic	500italic	sans-serif
Exo 600	600	sans-serif
Exo 600italic	600italic	sans-serif
Exo 700	700	sans-serif
Exo 700italic	700italic	sans-serif
Exo 800	800	sans-serif
Exo 800italic	800italic	sans-serif
Exo 900	900	sans-serif
Exo 900italic	900italic	sans-serif
Acme regular	regular	sans-serif
EB Garamond regular	regular	serif
Vollkorn regular	regular	serif
Vollkorn italic	italic	serif
Vollkorn 700	700	serif
Vollkorn 700italic	700italic	serif
Source Code Pro 200	200	monospace
Source Code Pro 300	300	monospace
Source Code Pro regular	regular	monospace
Source Code Pro 500	500	monospace
Source Code Pro 600	600	monospace
Source Code Pro 700	700	monospace
Source Code Pro 900	900	monospace
Maven Pro regular	regular	sans-serif
Maven Pro 500	500	sans-serif
Maven Pro 700	700	sans-serif
Maven Pro 900	900	sans-serif
Pathway Gothic One regular	regular	sans-serif
Amatic SC regular	regular	handwriting
Amatic SC 700	700	handwriting
Archivo Black regular	regular	sans-serif
Rokkitt 100	100	serif
Rokkitt 200	200	serif
Rokkitt 300	300	serif
Rokkitt regular	regular	serif
Rokkitt 500	500	serif
Rokkitt 600	600	serif
Rokkitt 700	700	serif
Rokkitt 800	800	serif
Rokkitt 900	900	serif
Crete Round regular	regular	serif
Crete Round italic	italic	serif
Libre Franklin 100	100	sans-serif
Libre Franklin 100italic	100italic	sans-serif
Libre Franklin 200	200	sans-serif
Libre Franklin 200italic	200italic	sans-serif
Libre Franklin 300	300	sans-serif
Libre Franklin 300italic	300italic	sans-serif
Libre Franklin regular	regular	sans-serif
Libre Franklin italic	italic	sans-serif
Libre Franklin 500	500	sans-serif
Libre Franklin 500italic	500italic	sans-serif
Libre Franklin 600	600	sans-serif
Libre Franklin 600italic	600italic	sans-serif
Libre Franklin 700	700	sans-serif
Libre Franklin 700italic	700italic	sans-serif
Libre Franklin 800	800	sans-serif
Libre Franklin 800italic	800italic	sans-serif
Libre Franklin 900	900	sans-serif
Libre Franklin 900italic	900italic	sans-serif
Ropa Sans regular	regular	sans-serif
Ropa Sans italic	italic	sans-serif
Alegreya Sans 100	100	sans-serif
Alegreya Sans 100italic	100italic	sans-serif
